Дата,Максимальная температура,Минимальная температура,Средняя температура,Атмосферное давление,Скорость ветра,Осадки,Эффективная температура
01.01.2019,-2.0,-7.0,-5.1,,5,,-10.5
02.01.2019,-3.0,-4.0,-3.4,,6,,-9.3
03.01.2019,-2.0,-4.0,-3.2,,5,,-8.4
04.01.2019,-4.0,-6.0,-4.4,,2,,-7.8
05.01.2019,-5.0,-8.0,-6.1,,2,,-9.7
06.01.2019,-7.0,-10.0,-7.8,,3,,-12.2
07.01.2019,-10.0,-14.0,-11.8,,4,,-17.2
08.01.2019,-9.0,-12.0,-10.4,,4,,-15.7
09.01.2019,-10.0,-18.0,-12.9,,3,,-17.7
10.01.2019,-7.0,-18.0,-11.1,,2,,-15.1
11.01.2019,-10.0,-17.0,-12.1,,2,,-16.2
12.01.2019,-10.0,-12.0,-10.7,,5,,-16.6
13.01.2019,-3.0,-10.0,-6.1,,4,,-11.0
14.01.2019,-2.0,-4.0,-2.7,,6,,-8.6
15.01.2019,0.0,-8.0,-2.6,,6,,-8.5
16.01.2019,-6.0,-14.0,-8.9,,3,,-13.4
17.01.2019,0.0,-6.0,-3.7,,7,,-10.3
18.01.2019,2.0,-2.0,1.1,,6,,-4.4
19.01.2019,-3.0,-9.0,-5.3,,5,,-10.8
20.01.2019,-3.0,-9.0,-5.2,,6,,-11.4
21.01.2019,-5.0,-14.0,-7.7,,4,,-12.8
22.01.2019,-13.0,-20.0,-15.3,,4,,-20.9
23.01.2019,-13.0,-23.0,-18.0,,2,,-22.5
24.01.2019,-11.0,-21.0,-16.1,,2,,-20.5
25.01.2019,-11.0,-19.0,-15.6,,2,0.0,-19.9
26.01.2019,-9.0,-16.0,-12.0,,6,,-18.7
27.01.2019,-8.0,-10.0,-9.2,,5,,-15.0
28.01.2019,-6.0,-9.0,-7.8,,3,,-12.2
29.01.2019,-2.0,-6.0,-3.9,,5,,-9.2
30.01.2019,-1.0,-5.0,-3.2,,5,,-8.4
31.01.2019,1.0,-3.0,-0.6,,5,,-5.5
01.02.2019,-3.0,-6.0,-4.3,,3,,-8.3
02.02.2019,-4.0,-6.0,-5.1,,3,,-9.2
03.02.2019,1.0,-5.0,-1.6,,4,,-6.0
